HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2016-02-19 09:35:53.000,2016-02-19 09:35:52.000,2016-02-19 09:35:53.000,Wear on
2016-02-19 09:55:36.000,2016-02-19 09:38:54.000,2016-02-19 09:55:36.000,Wear on
2016-02-19 09:56:50.000,2016-02-19 09:56:31.000,2016-02-19 09:56:50.000,Still
2016-02-19 09:57:02.000,2016-02-19 09:56:50.000,2016-02-19 09:57:02.000,Jumping Jacks
2016-02-19 09:57:21.000,2016-02-19 09:57:02.000,2016-02-19 09:57:21.000,Still
2016-02-19 09:57:32.000,2016-02-19 09:57:21.000,2016-02-19 09:57:32.000,Jumping Jacks
2016-02-19 09:57:51.000,2016-02-19 09:57:32.000,2016-02-19 09:57:51.000,Still
2016-02-19 09:58:02.000,2016-02-19 09:57:51.000,2016-02-19 09:58:02.000,Jumping Jacks
2016-02-19 09:58:15.000,2016-02-19 09:58:04.000,2016-02-19 09:58:15.000,Still
2016-02-19 09:59:09.000,2016-02-19 09:58:16.000,2016-02-19 09:59:09.000,Standing
2016-02-19 09:59:59.000,2016-02-19 09:59:15.000,2016-02-19 09:59:59.000,Wear on
