HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2016-03-18 14:00:09.799,2016-03-18 14:00:00.000,2016-03-18 14:00:09.786,Sweeping,l13011419151518,2016-03-18 13:58:18.868,,
2016-03-18 14:00:10.514,2016-03-18 14:00:00.000,2016-03-18 14:00:10.491,Walking,l13011419151518,2016-03-18 13:58:17.895,,
2016-03-18 14:03:39.141,2016-03-18 14:00:50.010,2016-03-18 14:03:39.136,300 KPM/min,l13011419151518,2016-03-18 14:00:50.010,,
2016-03-18 14:03:39.401,2016-03-18 14:00:48.142,2016-03-18 14:03:39.390,Stationary,l13011419151518,2016-03-18 14:00:48.142,,
2016-03-18 14:03:39.746,2016-03-18 14:00:46.649,2016-03-18 14:03:39.742,Biking,l13011419151518,2016-03-18 14:00:46.649,,
2016-03-18 14:06:38.391,2016-03-18 14:04:42.339,2016-03-18 14:06:38.387,1 mph,l13011419151518,2016-03-18 14:04:42.339,,
2016-03-18 14:08:58.141,2016-03-18 14:06:58.648,2016-03-18 14:08:58.128,2 mph,l13011419151518,2016-03-18 14:06:58.648,,
2016-03-18 14:08:58.821,2016-03-18 14:04:43.694,2016-03-18 14:08:58.814,Arms rested on the desk,l13011419151518,2016-03-18 14:04:43.694,,
2016-03-18 14:11:28.539,2016-03-18 14:09:36.620,2016-03-18 14:11:28.534,Bag,l13011419151518,2016-03-18 14:09:36.620,,
2016-03-18 14:11:29.208,2016-03-18 14:09:35.426,2016-03-18 14:11:29.204,Dominant hand,l13011419151518,2016-03-18 14:09:35.426,,
2016-03-18 14:13:32.850,2016-03-18 14:11:39.021,2016-03-18 14:13:32.843,Drink,l13011419151518,2016-03-18 14:11:39.021,,
2016-03-18 14:13:33.146,2016-03-18 14:11:40.137,2016-03-18 14:13:33.143,Dominant hand,l13011419151518,2016-03-18 14:11:40.137,,
2016-03-18 14:13:52.160,2016-03-18 14:09:38.437,2016-03-18 14:13:52.143,3.5 mph,l13011419151518,2016-03-18 14:09:38.437,,
2016-03-18 14:13:57.391,2016-03-18 14:13:50.214,2016-03-18 14:13:57.386,5.5 mph,l13011419151518,2016-03-18 14:13:50.214,,
2016-03-18 14:14:22.538,2016-03-18 14:04:36.185,2016-03-18 14:14:22.533,Walking,l13011419151518,2016-03-18 14:04:36.185,,
2016-03-18 14:15:35.156,2016-03-18 14:13:46.495,2016-03-18 14:15:35.137,5% grade,l13011419151518,2016-03-18 14:13:46.495,,
2016-03-18 14:15:35.412,2016-03-18 14:13:58.818,2016-03-18 14:15:35.407,5.5 mph,l13011419151518,2016-03-18 14:13:58.818,,
2016-03-18 14:15:39.244,2016-03-18 14:14:22.541,2016-03-18 14:15:39.240,Jog/Running,l13011419151518,2016-03-18 14:14:22.541,,
2016-03-18 14:17:06.395,2016-03-18 14:15:41.776,2016-03-18 14:17:06.390,3 mph,l13011419151518,2016-03-18 14:15:41.776,,
2016-03-18 14:17:06.597,2016-03-18 14:04:41.564,2016-03-18 14:17:06.593,Treadmill,l13011419151518,2016-03-18 14:04:41.564,,
2016-03-18 14:17:07.053,2016-03-18 14:15:39.248,2016-03-18 14:17:07.037,Walking,l13011419151518,2016-03-18 14:15:39.248,,
2016-03-18 14:17:09.404,2016-03-18 14:04:03.593,2016-03-18 14:17:09.392,Wear ON,l13011419151518,2016-03-18 14:04:03.593,,
