HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2016-01-15 16:28:26.697,2016-01-15 16:28:07.836,2016-01-15 16:28:26.673,Still,l13011419151518,2016-01-15 16:28:07.836,,
2016-01-15 16:28:43.178,2016-01-15 16:28:26.711,2016-01-15 16:28:43.172,Jumping Jacks,l13011419151518,2016-01-15 16:28:26.711,,
2016-01-15 16:29:04.581,2016-01-15 16:28:43.181,2016-01-15 16:29:04.577,Still,l13011419151518,2016-01-15 16:28:43.181,,
2016-01-15 16:29:15.421,2016-01-15 16:29:04.585,2016-01-15 16:29:15.413,Jumping Jacks,l13011419151518,2016-01-15 16:29:04.585,,
2016-01-15 16:29:28.157,2016-01-15 16:29:15.425,2016-01-15 16:29:28.152,Still,l13011419151518,2016-01-15 16:29:15.425,,
2016-01-15 16:29:40.021,2016-01-15 16:29:28.161,2016-01-15 16:29:40.010,Jumping Jacks,l13011419151518,2016-01-15 16:29:28.161,,
2016-01-15 16:29:51.499,2016-01-15 16:29:40.031,2016-01-15 16:29:51.494,Still,l13011419151518,2016-01-15 16:29:40.031,,
2016-01-15 16:30:07.523,2016-01-15 16:29:51.503,2016-01-15 16:30:07.518,Jumping Jacks,l13011419151518,2016-01-15 16:29:51.503,,
2016-01-15 16:30:20.772,2016-01-15 16:30:07.526,2016-01-15 16:30:20.766,Still,l13011419151518,2016-01-15 16:30:07.526,,
2016-01-15 16:32:33.962,2016-01-15 16:30:35.666,2016-01-15 16:32:33.957,Sitting,l13011419151518,2016-01-15 16:30:35.666,,
2016-01-15 16:32:33.971,2016-01-15 16:30:37.156,2016-01-15 16:32:33.957,Writing,l13011419151518,2016-01-15 16:30:37.156,,
2016-01-15 16:32:33.978,2016-01-15 16:30:51.288,2016-01-15 16:32:33.957,Arms On Desk,l13011419151518,2016-01-15 16:30:51.288,,
2016-01-15 16:35:54.139,2016-01-15 16:32:42.969,2016-01-15 16:35:54.134,Telling Story,l13011419151518,2016-01-15 16:32:42.969,,
2016-01-15 16:35:54.598,2016-01-15 16:32:41.089,2016-01-15 16:35:54.591,Reclining,l13011419151518,2016-01-15 16:32:41.089,,
2016-01-15 16:37:37.192,2016-01-15 16:36:00.715,2016-01-15 16:37:37.187,Telling Story,l13011419151518,2016-01-15 16:36:00.715,,
2016-01-15 16:40:44.441,2016-01-15 16:35:55.557,2016-01-15 16:40:44.434,Standing,l13011419151518,2016-01-15 16:35:55.557,,
2016-01-15 16:40:44.454,2016-01-15 16:37:38.628,2016-01-15 16:40:44.434,Web Browsing,l13011419151518,2016-01-15 16:37:38.628,,
2016-01-15 16:40:44.471,2016-01-15 16:37:39.875,2016-01-15 16:40:44.434,Typing,l13011419151518,2016-01-15 16:37:39.875,,
2016-01-15 16:40:44.489,2016-01-15 16:37:43.619,2016-01-15 16:40:44.434,Arms On Desk,l13011419151518,2016-01-15 16:37:43.619,,
2016-01-15 16:42:18.286,2016-01-15 16:41:56.780,2016-01-15 16:42:18.267,Down,l13011419151518,2016-01-15 16:41:56.780,,
